CA,Eastern Alberta (St. Paul),AB,54.766,-111.7174,
CA,Wainwright Region (Tofield),AB,53.0727,-111.5816,
CA,Central Alberta (Stettler),AB,52.4922,-112.8113,
CA,Western Alberta (Jasper),AB,53.4021,-117.2308,
CA,North Central Alberta (Slave Lake),AB,55.6993,-114.4529,
CA,Northwestern Alberta (High Level),AB,57.5403,-116.9153,
CA,Southeastern Alberta (Drumheller),AB,50.9944,-111.4632,
CA,International Border Region (Cardston),AB,49.4721,-112.2408,
CA,Kananaskis Country (Claresholm),AB,50.6314,-114.4089,
CA,Central Foothills (Sundre),AB,51.9552,-114.8691,
CA,Northeastern Alberta (Fort Chipewyan),AB,58.1176,-111.5094,
CA,Remote Northeast (Fitzgerald),AB,59.9049,-111.6717,
CA,Medicine Hat Central,AB,50.0816,-110.5788,
CA,Medicine Hat South,AB,49.835,-110.5203,
CA,Medicine Hat North,AB,50.0774,-110.6911,
CA,Taber,AB,49.787,-112.146,
CA,Lethbridge North,AB,49.7,-112.8186,
CA,Lethbridge West and Central,AB,49.6581,-112.7484,
CA,Lethbridge Southeast,AB,49.6511,-112.8351,
CA,Banff,AB,51.1762,-115.5698,
CA,Coaldale,AB,49.7167,-112.6185,
CA,Strathmore,AB,51.0501,-113.3852,
CA,Brooks,AB,50.5834,-111.8851,
CA,Okotoks,AB,50.7362,-113.9695,
CA,High River,AB,50.5834,-113.8687,
CA,Canmore,AB,51.0876,-115.3461,
CA,Chestermere,AB,51.0334,-113.8187,
CA,Calgary (Rundle / Whitehorn / Monterey Park),AB,51.0823,-113.9578,
CA,Rocky View,AB,51.1834,-113.9353,
CA,Calgary (Penbrooke Meadows / Marlborough),AB,51.0494,-113.9564,
CA,Calgary (Forest Lawn / Dover / Erin Woods),AB,51.0209,-113.981,
CA,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),AB,50.987,-113.9634,
CA,Calgary (Bridgeland / Greenview / Zoo / YYC),AB,51.0876,-114.0214,
CA,Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),AB,51.0272,-114.0349,
CA,Calgary (Highfield / Burns Industrial),AB,50.9894,-114.052,
CA,Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),AB,50.8476,-114.1958,
CA,Calgary (Thornecliffe / Tuxedo),AB,51.1111,-114.0477,
CA,Calgary (Brentwood / Collingwood / Nose Hill),AB,51.1047,-114.1148,
CA,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),AB,51.133,-113.856,
CA,Calgary (Kensington / Westmont / Parkdale / University),AB,51.0621,-114.1159,
CA,Calgary (City Centre / Calgary Tower),AB,51.0708,-113.6931,
CA,Calgary (Connaught / West Victoria Park),AB,51.0412,-114.0762,
CA,Calgary (Elbow Park / Britannia / Parkhill / Mission),AB,51.0233,-114.071,
CA,Calgary South (Altadore / Bankview / Richmond),AB,51.0242,-114.1004,
CA,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),AB,50.9819,-114.1004,
CA,Calgary (Braeside / Woodbine),AB,50.9514,-114.3591,
CA,Calgary (Midnapore / Sundance),AB,50.8837,-114.0326,
CA,Calgary (Millrise / Somerset / Bridlewood / Evergreen),AB,50.9093,-114.1028,
CA,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),AB,50.9278,-113.9682,
CA,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),AB,51.1264,-114.1419,
CA,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),AB,51.0915,-114.2073,
CA,Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),AB,51.0497,-114.1394,
CA,Calgary (Lakeview / Glendale / Killarney / Glamorgan),AB,50.9899,-114.1574,
CA,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),AB,51.1387,-114.2015,
CA,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),AB,51.0419,-114.2,
CA,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),AB,51.1188,-113.9471,
